AoA:,LC1:,LC2:,LC3:,Calib
0,-0.385,-0.578,-0.189,9
2,-0.557,-0.684,-0.331
4,-0.52,-0.797,-0.297
6,-0.42,-0.844,-0.195
8,-0.243,-0.85,-0.027
10,-0.041,-0.848,0.175
12,0.349,-0.181,0.511
14,0.468,-0.112,0.632
16,0.57,-0.071,0.729
18,0.612,-0.072,0.789
20,0.619,-0.121,0.856
22,0.644,-0.17,0.931
24,0.64,-0.218,0.982
26,0.599,-0.252,0.973
28,0.584,-0.295,0.985
30,0.585,-0.337,1.004
32,0.543,-0.377,1.004
34,0.554,-0.425,1.053
36,0.561,-0.476,1.072
38,0.567,-0.537,1.12
40,0.564,-0.603,1.144
