AoA:,LC1:,LC2:,LC3:,Calib
0,-0.193,-0.044,-0.102,19
2,-0.142,-0.011,-0.057
4,-0.043,0.018,0.029
6,0.068,0.042,0.135
8,0.186,0.048,0.252
10,0.308,0.062,0.381
12,0.431,0.048,0.513
14,0.547,0.034,0.631
16,0.646,0.015,0.729
18,0.702,-0.027,0.811
20,0.739,-0.083,0.895
22,0.769,-0.138,0.971
24,0.814,-0.192,1.036
26,0.855,-0.245,1.093
28,0.793,-0.305,1.092
30,0.735,-0.348,1.078
32,0.726,-0.399,1.103
34,0.706,-0.452,1.118
36,0.695,-0.512,1.136
38,0.689,-0.564,1.142
40,0.675,-0.623,1.149
