AoA:,LC1:,LC2:,LC3:,Calib
0,0.162,0.033,0.433,24
2,0.243,-0.031,0.581
4,0.336,-0.112,0.712
6,0.416,-0.175,0.813
8,0.453,-0.246,0.902
10,0.506,-0.312,0.974
12,0.557,-0.373,1.063
14,0.614,-0.427,1.132
16,0.661,-0.509,1.211
18,0.708,-0.576,1.264
20,0.746,-0.641,1.315
22,0.726,-0.726,1.345
24,0.702,-0.786,1.343
26,0.644,-0.881,1.344
28,0.576,-0.966,1.303
30,0.553,-1.028,1.312
32,0.526,-1.122,1.336
34,0.494,-1.192,1.329
36,0.477,-1.269,1.333
38,0.454,-1.342,1.334
40,0.416,-1.402,1.314
