LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:36:40.311999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.230292
1.000000	-0.816944
2.000000	-0.660758
3.000000	-0.641257
4.000000	-0.598583
5.000000	-0.729438
6.000000	-0.450023
7.000000	-0.411097
8.000000	-0.379929
9.000000	-0.416560
10.000000	-0.389536
11.000000	-0.412623
12.000000	-0.436363
13.000000	-0.569375
14.000000	-0.411664
15.000000	-0.493016

Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:36:56.25	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.230292
1.000000	-0.838971
2.000000	-0.707955
3.000000	-0.704740
4.000000	-0.614556
5.000000	-0.717886
6.000000	-0.450023
7.000000	-0.393535
8.000000	-0.372398
9.000000	-0.404410
10.000000	-0.375416
11.000000	-0.403128
12.000000	-0.423447
13.000000	-0.542933
14.000000	-0.394987
15.000000	-0.489520

Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:37:30.375	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.230292
1.000000	-0.816944
2.000000	-0.654525
3.000000	-0.644472
4.000000	-0.610353
5.000000	-0.734389
6.000000	-0.453837
7.000000	-0.412693
8.000000	-0.383277
9.000000	-0.413089
10.000000	-0.389536
11.000000	-0.412623
12.000000	-0.432673
13.000000	-0.571137
14.000000	-0.406398
15.000000	-0.492142

