LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	14:55:02.592999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.175387
1.000000	-0.190579
2.000000	-0.121994
3.000000	-0.196064
4.000000	-0.157252
5.000000	-0.240934
6.000000	-0.076271
7.000000	-0.097381
8.000000	-0.070292
9.000000	-0.121529
10.000000	-0.103816
11.000000	-0.116530
12.000000	-0.109814
13.000000	-0.147231
14.000000	-0.110626
15.000000	-0.157338

