LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:39:09.905999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.227868
1.000000	-1.175135
2.000000	-0.925240
3.000000	-0.891171
4.000000	-0.790264
5.000000	-0.719536
6.000000	-0.515810
7.000000	-0.491720
8.000000	-0.466125
9.000000	-0.502476
10.000000	-0.493356
11.000000	-0.460101
12.000000	-0.447434
13.000000	-0.442455
14.000000	-0.515238
15.000000	-0.470288

