LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:19:41.983999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.225443
1.000000	-1.088939
2.000000	-0.829065
3.000000	-0.801170
4.000000	-0.720485
5.000000	-0.712935
6.000000	-0.523437
7.000000	-0.502097
8.000000	-0.487883
9.000000	-0.497269
10.000000	-0.465948
11.000000	-0.391906
12.000000	-0.373630
13.000000	-0.229160
14.000000	-0.492417
15.000000	-0.458050

Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:19:58.405999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.223827
1.000000	-1.042968
2.000000	-0.813036
3.000000	-0.819652
4.000000	-0.733096
5.000000	-0.739340
6.000000	-0.540599
7.000000	-0.498904
8.000000	-0.508804
9.000000	-0.493797
10.000000	-0.481728
11.000000	-0.397085
12.000000	-0.345954
13.000000	-0.209770
14.000000	-0.502072
15.000000	-0.450183

Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:20:15.811999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.225443
1.000000	-1.097558
2.000000	-0.845094
3.000000	-0.805188
4.000000	-0.728052
5.000000	-0.718711
6.000000	-0.532972
7.000000	-0.495711
8.000000	-0.504620
9.000000	-0.490326
10.000000	-0.485881
11.000000	-0.388453
12.000000	-0.353334
13.000000	-0.247669
14.000000	-0.502072
15.000000	-0.455428

