LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	16:12:43.296	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.221403
1.000000	-0.775761
2.000000	-0.740904
3.000000	-0.817241
4.000000	-0.772609
5.000000	-0.782248
6.000000	-0.640710
7.000000	-0.577132
8.000000	-0.621779
9.000000	-0.575374
10.000000	-0.558971
11.000000	-0.446289
12.000000	-0.443743
13.000000	-0.345503
14.000000	-0.591603
15.000000	-0.430952

