LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	15:48:43.342999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.223827
1.000000	-0.780550
2.000000	-0.681240
3.000000	-0.684651
4.000000	-0.622963
5.000000	-0.606490
6.000000	-0.460488
7.000000	-0.445422
8.000000	-0.440997
9.000000	-0.453877
10.000000	-0.421907
11.000000	-0.454058
12.000000	-0.435564
13.000000	-0.449506
14.000000	-0.441626
15.000000	-0.459799

