W1,W2,W3,LC1,E1,LC2,E2,LC3,E3
0.75,0,0,-0.137,0.069,-0.131,-0.12666,-0.151,-0.086
1.75,0,0,-0.376,0.069,-0.129,-0.12666,-0.221,-0.086
2.75,0,0,-0.703,0.069,-0.119,-0.12666,-0.32,-0.086
3.75,0,0,-0.99,0.069,-0.121,-0.12666,-0.41,-0.086
0,0.75,0,0.012,0.0746,-0.131,-0.12433,-0.308,-0.093
0,1.75,0,-0.071,0.0746,-0.132,-0.12433,-0.6,-0.093
0,2.75,0,-0.156,0.0746,-0.128,-0.12433,-0.915,-0.093
0,3.75,0,-0.239,0.0746,-0.133,-0.12433,-1.2,-0.093
0,0,0.75,0.08,0.075,-0.297,-0.1306,-0.085,-0.09133
0,0,1.75,0.093,0.075,-0.559,-0.1306,-0.102,-0.09133
0,0,2.75,0.091,0.075,-0.837,-0.1306,-0.106,-0.09133
0,0,3.75,0.097,0.075,-1.12,-0.1306,-0.119,-0.09133
