AoA:,LC1:,LC2:,LC3:,Calib
0,0.124,-1.367,0.205,5
2,-0.209,-1.402,-0.077
4,-0.127,-1.363,0.002
6,-0.014,-1.283,0.123
8,0.086,-1.241,0.231
10,0.243,-1.119,0.389
12,0.385,-0.994,0.528
14,0.509,-0.829,0.652
16,0.603,-0.633,0.761
18,0.691,-0.462,0.876
20,0.706,-0.482,0.926
22,0.739,-0.478,0.998
24,0.731,-0.483,1.025
26,0.697,-0.499,1.039
28,0.669,-0.522,1.053
30,0.649,-0.554,1.067
32,0.624,-0.592,1.072
34,0.607,-0.622,1.085
36,0.603,-0.645,1.089
38,0.602,-0.695,1.123
40,0.609,-0.736,1.156
