AoA:,LC1:,LC2:,LC3:,Calib
0,-0.048,0.2,0.071,2
2,0.054,0.101,0.178
4,0.171,0.013,0.307
6,0.302,-0.005,0.445
8,0.428,-0.041,0.571
10,0.552,0.036,0.693
12,0.624,-0.169,0.799
14,0.709,-0.269,0.894
16,0.752,-0.323,0.98
18,0.789,-0.318,1.053
20,0.771,-0.232,1.061
22,0.738,-0.212,1.068
24,0.746,-0.276,1.092
26,0.745,-0.376,1.126
28,0.716,-0.472,1.166
30,0.723,-0.593,1.203
32,0.703,-0.732,1.223
34,0.669,-0.937,1.226
36,0.631,-1.115,1.223
38,0.595,-1.276,1.282
40,0.579,-1.376,1.245
