AoA:,LC1:,LC2:,LC3:,Calib
0,0.085,-0.422,0.068,8
2,0.003,-0.414,0.02
4,0.052,-0.43,0.087
6,0.119,-0.443,0.166
8,0.176,-0.494,0.239
10,0.253,-0.519,0.326
12,0.339,-0.523,0.418
14,0.416,-0.505,0.51
16,0.487,-0.484,0.585
18,0.482,-0.504,0.636
20,0.464,-0.522,0.671
22,0.443,-0.529,0.743
24,0.426,-0.543,0.772
26,0.439,-0.571,0.742
28,0.368,-0.612,0.754
30,0.392,-0.661,0.791
32,0.394,-0.712,0.811
34,0.393,-0.772,0.861
36,0.405,-0.836,0.884
38,0.384,-0.889,0.926
40,0.389,-0.952,0.954
