AoA:,LC1:,LC2:,LC3:,Calib
0,-0.322,-0.655,-0.262,12
2,-0.445,-0.822,-0.345
4,-0.446,-0.967,-0.344
6,-0.408,-1.085,-0.312
8,-0.347,-1.171,-0.241
10,-0.259,-1.236,-0.141
12,-0.171,-1.327,-0.041
14,-0.066,-1.411,0.073
16,0.066,-1.47,0.206
18,0.166,-1.497,0.322
20,0.316,-1.49,0.489
22,0.817,-0.235,0.932
24,0.866,-0.205,0.994
26,0.869,-0.262,1.025
28,0.771,-0.332,1.042
30,0.727,-0.373,1.032
32,0.751,-0.436,1.076
34,0.747,-0.492,1.097
36,0.756,-0.562,1.119
38,0.763,-0.637,1.157
40,0.759,-0.706,1.167
